Fecha,Puducherry,Goa,Manipur,Nagaland,AMB,Mizoram
2020-09-17,568.9278192435808,275.28533065694666,234.89854734698022,7.455825014713166,52.85189598397863,104.52698882776828
2020-09-18,576.4511156228057,275.9019177445861,235.35690163208216,7.494133137072705,53.082014955362446,105.08333340346893
2020-09-19,584.0674140805527,276.51892999557816,235.81584136099673,7.532637461149692,53.31310221903355,105.6424237510557
2020-09-20,591.7776864092452,277.1363642908969,236.27536586108533,7.571338987957451,53.54516155209822,106.2042710430583
2020-09-21,599.5829099688509,277.75421142699804,236.7354744512611,7.610238722347822,53.778196741113085,106.76888641130377
2020-09-22,607.484066328726,278.37246831798666,237.19616644198896,7.64933767056428,54.012211587040824,107.33628103472378
2020-09-23,615.4821332979285,278.99113171733813,237.65744113528564,7.688636845708424,54.24720990627017,107.90646615050731
2020-09-24,623.578128707479,279.6101874634843,238.11929782471958,7.72813726579821,54.483195529183746,108.47945298639713
2020-09-25,631.7730252363211,280.22963975640323,238.58173579541102,7.76783995641642,54.720172296848354,109.05525278711468
2020-09-26,640.0678295748592,280.8494808232972,239.04475432403203,7.807745948360205,54.958144050923586,109.63387684648326
2020-09-27,648.463550010861,281.4697038624797,239.5083526788064,7.847856273349569,55.197114651245165,110.21533655088409
2020-09-28,656.9611962816651,282.09030230295565,239.97253031560783,7.888171970435097,55.43708797050897,110.79964316082388
2020-09-29,665.561780418234,282.7112695737298,240.4372865464208,7.928694083652317,55.67806789338278,111.38680801642614
2020-09-30,674.2663191721603,283.33260009854894,240.90262049107776,7.969423664556023,55.92005831502513,111.97684247760104
2020-10-01,683.0758339259742,283.9542888886725,241.36853140171854,8.010361768550888,56.163063141433334,112.56975792404532
2020-10-02,691.9913492728873,284.5763301649278,241.83501852297408,8.051509454654969,56.40708629116408,113.16556562233856
2020-10-03,701.0138930181939,285.198718147886,242.30208109196633,8.092867788213102,56.652131694415615,113.7642770226419
2020-10-04,710.1444954133784,285.82144702280544,242.76971833830828,8.134437839862706,56.89820312591342,114.36590354505365
2020-10-05,719.3841898807408,286.44451068246224,243.23792948410394,8.176220685572032,57.14530499129351,114.9704566194287
2020-10-06,728.7340123806777,287.0679031445734,243.70671374394834,8.218217407526293,57.39344091680635,115.57794769263329
2020-10-07,738.1950008996639,287.6916184771728,244.1760703249276,8.26042909322413,57.64261491907367,116.18838813527884
2020-10-08,747.7681959779803,288.3156507482943,244.6459984266188,8.302856834712845,57.89283101471721,116.8017893675997
2020-10-09,757.4546403137574,288.9399936096561,245.11649717816445,8.345501730107564,58.1440932301114,117.41816290310285
2020-10-10,767.2553770273381,289.56464149240145,245.58756566113382,8.388364883116136,58.39640562038828,118.03752022196988
2020-10-11,777.1714526258543,290.1895877406158,246.05920314878534,8.431447403082181,58.649772208962254,118.65987281795566
2020-10-12,787.2039144897378,290.81482633984376,246.53140880128032,8.474750404139368,58.90419700725401,119.2852321788364
2020-10-13,797.3538079024958,291.44035122272896,247.00418177076813,8.518275005794875,59.15968406879264,119.91360974727604
2020-10-14,807.6221807561889,292.0661560505706,247.4775212013861,8.562022334850573,59.416237459439095,120.5450170834662
2020-10-15,818.0100809740411,292.69223453521937,247.9514262292596,8.605993523063324,59.67386127057271,121.17946571644178
2020-10-16,828.518554067081,293.31858040067993,248.42589598250197,8.650189707950588,59.932559597261914,121.81696718686247
