Fecha,Puducherry,Goa,Manipur,Nagaland,AMB,Mizoram
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,0.00259866913219572,0.00725953127943282,0.004509583182559415,0.0004286920691997337,3.425181990276393e-05,0.0005276319968748482
2020-06-13,0.006932776511630812,0.019359074795564812,0.01100136056525917,0.0011460514929261998,9.150663036880212e-05,0.0013545377789352653
2020-06-14,0.012459810509996061,0.03478124721158621,0.019043245186202106,0.002063658402564436,0.00016466707414201153,0.0024055064868843423
2020-06-15,0.018807753427408626,0.052485544715366164,0.02829752516315586,0.0031208081762506197,0.00024886287416994414,0.0036247592951994846
2020-06-16,0.025721500679273233,0.07175846573373379,0.03850025000927578,0.004275827167141471,0.00034075212851123794,0.004970931328941913
2020-06-17,0.03302611848019864,0.0921107380605883,0.04944511978981628,0.005500109589704219,0.00043804180646692917,0.006413349478927826
2020-06-18,0.040601648844981554,0.11320684657099936,0.060970892859275455,0.006774022896849503,0.0005391586869210583,0.007929271359511861
2020-06-19,0.048365832372766815,0.13481670930037984,0.07295154397820894,0.008084096097081083,0.0006430235305956448,0.009501837363721337
2020-06-20,0.056262260717137885,0.15678254111066103,0.08528857269977756,0.009421089198001602,0.0007488961028434822,0.011118551524298482
2020-06-21,0.06425225253751563,0.1789961321104621,0.09790499103203609,0.010778667502519339,0.0008562688181595159,0.012770154702673606
2020-06-22,0.07230928244409675,0.20138326683508745,0.11074062487911059,0.01215249129071837,0.0009647937522207144,0.014449788753249327
2020-06-23,0.08041516079542908,0.2238930403906072,0.12374844147426861,0.013539590775751047,0.0010742325521840824,0.016152376517760192
2020-06-24,0.08855741404740161,0.24649053232306084,0.1368916787939397,0.01493793689333794,0.0011844220619624335,0.017874161985411374
2020-06-25,0.09672748839840227,0.26915178306712734,0.15014160270893434,0.016346146584278815,0.0012952507318391665,0.01961236914097922
2020-06-26,0.10491951793661874,0.29186034912265346,0.16347575315297158,0.017763280424378174,0.001406642429326686,0.021364948945863094
2020-06-27,0.11312947992661743,0.3146049408987072,0.17687657390609926,0.019188703664625044,0.0015185453290015253,0.023130391648332634
2020-06-28,0.1213546155614575,0.3373778029443979,0.190330341435556,0.020621990813750928,0.0016309242879270491,0.02490758756439678
2020-06-29,0.12959303275260126,0.36017360324259734,0.2038263278403667,0.022062860119897706,0.0017437556131705873,0.026695723809916902
2020-06-30,0.13784343371393762,0.38298867149478116,0.21735614649084764,0.023511128575403786,0.0018570234708569738,0.028494207701990737
2020-07-01,0.1461049282500158,0.4058204770125787,0.23091324066863347,0.024966681039432437,0.001970717421767928,0.030302609938650683
2020-07-02,0.15437690559343525,0.4286672704072692,0.24449248388637965,0.02642944901000905,0.002084830730763599,0.03212062245591107
2020-07-03,0.162658946605495,0.451527838041445,0.25808986750459467,0.027899396065146246,0.002199359205271957,0.03394802715985965
2020-07-04,0.17095076354580876,0.4744013336943005,0.2717022565721782,0.02937650786266693,0.002314300399327315,0.03578467274131872
2020-07-05,0.17925215875922995,0.49728716299631215,0.28532719899016606,0.03086078527021153,0.0024296530669108882,0.03763045748528294
2020-07-06,0.1875629963634674,0.520184904297689,0.29896277639568225,0.0323522396586238,0.002545416786772797,0.0394853164933988
2020-07-07,0.1958831828169634,0.5430942543394499,0.3126074874863709,0.033850889647805533,0.002661591705037828,0.041349212232642714
2020-07-08,0.20421265360265267,0.5660149910219239,0.3262601570319034,0.03535675889786559,0.0027781783585462245,0.04322212751028406
2020-07-09,0.21255136412230313,0.5889469479256944,0.3399198647056984,0.03686987458128269,0.0028951775535829027,0.045104060273053345
2020-07-10,0.22089928336121867,0.6118899966188162,0.35358588925082685,0.03839026633382417,0.0030125902829647995,0.046995019738013476
2020-07-11,0.22925638965997946,0.6348440348669717,0.36725766506988017,0.03991796552740767,0.0031304176680940136,0.04889502353373756
2020-07-12,0.23762266776324847,0.6578089783705015,0.38093474824128953,0.04145300479312393,0.003248660920853078,0.05080409557257924
2020-07-13,0.24599810676997066,0.6807847549277143,0.39461678991566496,0.04299541766888061,0.0033673213162237815,0.05272226447588885
2020-07-14,0.2543826987479741,0.7037713007543694,0.4083035155693255,0.044545238370534014,0.003486400173759273,0.05464956240296302
2020-07-15,0.26277643784947813,0.72676855784788,0.42199470877227735,0.04610250163604311,0.0036058988447844127,0.05658602419668245
2020-07-16,0.2711793195724678,0.749776471967707,0.435690198434613,0.04766724261063716,0.003725818704681756,0.05853168671534573
2020-07-17,0.2795913403395249,0.7727949915329761,0.4493898490966821,0.04923949677609501,0.003846161145683511,0.06048658837375065
2020-07-18,0.28801249721823047,0.7958240667864281,0.4630935528374281,0.050819299906606864,0.003966927573135465,0.06245076879723522
2020-07-19,0.29644278771606947,0.8188636491519313,0.4768012234409584,0.05240668801912815,0.004088119403439711,0.06442426854433765
2020-07-20,0.3048822095839946,0.8419136907879291,0.490512791698316,0.05400169735361845,0.004209738061186572,0.06640712891799158
2020-07-21,0.3133307607562263,0.8649741444009824,0.5042282016234204,0.05560436437321303,0.004331784978167559,0.0683993918196191
2020-07-22,0.3217884392840109,0.8880449630477307,0.5179474075433887,0.057214725741218934,0.0044542615925618105,0.07040109964637958
2020-07-23,0.33025524329028355,0.9111260999557033,0.5316703719189211,0.05883281830166186,0.004577169348458651,0.07241229521923727
2020-07-24,0.3387311709085024,0.9342175084555318,0.5453970633644745,0.0604586790704114,0.004700509695458191,0.07443302170779922
2020-07-25,0.34721622029113197,0.9573191419216005,0.5591274556029013,0.06209234528633875,0.004824284088108242,0.07646332259009188
