Fecha,Puducherry,Goa,Manipur,Nagaland,Mizoram
2020-11-20,163.21630680396808,322.4621423271629,236.64786549889578,10.756827630912895,144.87547954496085
2020-11-21,163.4885682021021,322.6700259516411,236.8130881570356,10.810903433802839,145.59431967883333
2020-11-22,163.76096061334263,322.87677625878786,236.97816779728538,10.865250037169421,146.31640207461137
2020-11-23,164.03348269194885,323.0823901588646,237.14310390406672,10.919868786434348,147.04173812089485
2020-11-24,164.30613308925058,323.2868644551843,237.30789579461285,10.97476103360709,147.770339136358
2020-11-25,164.57891037108882,323.49019591560943,237.47254295537726,11.029928137427152,148.50221639931485
2020-11-26,164.85181316570524,323.69238160877006,237.63704445540387,11.085371463264957,149.23738112351327
2020-11-27,165.12484002666545,323.8934180148244,237.80140026996258,11.141092383151076,149.9758444755039
2020-11-28,165.39798937226954,324.09330235021736,237.965609526524,11.197092275805463,150.71761774786023
2020-11-29,165.67125977464826,324.2920317324691,238.1296714806109,11.2533725266667,151.4627122379953
2020-11-30,165.94464988205985,324.4896034301227,238.29358538774625,11.309934527958035,152.2111392773509
2020-12-01,166.2181582818052,324.68601482032085,238.45735050345283,11.366779679800985,152.96291009852675
2020-12-02,166.49178347847584,324.8812623912363,238.6209660832536,11.423909387354243,153.7180359358304
2020-12-03,166.76552405710962,325.07534269540423,238.78443149097737,11.481325063357149,154.47652805490273
2020-12-04,167.03937813915184,325.2682522853596,238.94774626312216,11.53902812743,155.23839772971348
2020-12-05,167.3133448026195,325.45998834378656,239.1109097626322,11.597020006104128,156.00365621798207
2020-12-06,167.5874232410507,325.65054838600247,239.2739213460112,11.655302132851956,156.77231477274483
2020-12-07,167.86160941019784,325.83992944669416,239.4367803697629,11.713875948117066,157.5443846445482
2020-12-08,168.13590471114097,326.02812856053396,239.599486190391,11.77274289934426,158.31987708203948
2020-12-09,168.41030707643102,326.21514277487694,239.76203816686925,11.831904441505593,159.0988033283155
2020-12-10,168.68481474307984,326.4009692787287,239.92443566991585,11.89136203728833,159.88117461436337
2020-12-11,168.95942602613326,326.5856052099727,240.08667806247797,11.951117154637242,160.66700216835275
2020-12-12,169.23413924063726,326.7690476765938,240.24876470600915,12.011171269517638,161.45629721650374
2020-12-13,169.50895270163775,326.951293786577,240.4106949619628,12.071525865071866,162.2490709790802
2020-12-14,169.78386473096506,327.1323407060645,240.57246819179244,12.132182431650667,163.0453346703899
2020-12-15,170.05887400090887,327.31218572156325,240.73406154073734,12.193142466844531,163.8450994979288
2020-12-16,170.33397914170234,327.49082602496554,240.89552824635268,12.254407475515048,164.64837664159745
2020-12-17,170.60917862526756,327.6682588030634,241.05683288664846,12.315978969826261,165.45517727642974
2020-12-18,170.88447092352666,327.84448124450654,241.2179754616247,12.377858470407824,166.26551257576298
2020-12-19,171.15985450840168,328.01949067058104,241.37895597128136,12.440047504579907,167.07939370475128
2020-12-20,171.43532785181472,328.19328441167363,241.53977441561847,12.502547606175247,167.89683182036543
2020-12-21,171.71088938052253,328.3658597397427,241.7004307937712,12.565360317134544,168.71783806977567
2020-12-22,171.986537461887,328.53721392674646,241.8609248104962,12.628487186887254,169.54242356311372
2020-12-23,172.262270528314,328.70734430569036,242.02125621030243,12.691929772384395,170.37059940606855
2020-12-24,172.53808701386325,328.87624829467615,242.18142409193064,12.755689638131395,171.20237670060408
2020-12-25,172.81398535259441,329.04392323706276,242.3414283823245,12.819768356220905,172.0377665376269
2020-12-26,173.08996397856717,329.21036647454315,242.50126684387698,12.884167506365639,172.87677999698636
2020-12-27,173.36602130963823,329.3755753699786,242.6609404459076,12.948888677959173,173.71942814457543
