Fecha,Puducherry,Goa,Manipur,Nagaland,Mizoram
2020-06-17,149.83614852973804,288.6270399620916,208.63555128347687,5.0968710692284525,59.846139550757684
2020-06-18,154.35015038349417,297.1649265946377,218.1366595632201,5.268099699315722,62.43936240006512
2020-06-19,157.50340938264156,303.0707242515828,225.57837747898444,5.394166488855264,64.44877592031074
2020-06-20,159.7235560480983,307.17145979718833,231.41048197142175,5.489263180406487,66.02554034424469
2020-06-21,161.30383038879114,310.03423782549237,235.9845097543297,5.563134853092797,67.28178209273953
2020-06-22,162.44531690943447,312.04793138043976,239.5752141927154,5.622473273163809,68.30067391717573
2020-06-23,163.28590606458883,313.47919749923915,242.3973367754546,5.67187359891532,69.14391213560367
2020-06-24,163.92015411796055,314.5108879924287,244.61871617292257,5.714491339117814,69.85726227350777
2020-06-25,164.4129014618815,315.268387705292,246.37053060084932,5.752493454001333,70.4746733316027
2020-06-26,164.80861136778748,315.8376754826645,247.7553069853155,5.787368107621392,71.02132917412088
2020-06-27,165.13777378898067,316.27770871802744,248.85317827310678,5.820137363353482,71.51591205080878
2020-06-28,165.42129664475945,316.6289155960254,249.72677503802288,5.851503232649257,71.97228156682085
2020-06-29,165.6735170637627,316.9190183512412,250.42504800889074,5.8819479596882775,72.40072008391606
2020-06-30,165.90426655789034,317.1670267992464,250.98625628891202,5.911802892987237,72.80885649319539
2020-07-01,166.1202864711863,317.3859756391086,251.44030253924993,5.941295747997169,73.20235146394528
2020-07-02,166.32619956811368,317.5848029882698,251.81055815991283,5.9705831001521945,73.58540568586153
2020-07-03,166.52517562939576,317.76963772594706,252.11528981561796,5.999772670102153,73.96113696010657
2020-07-04,166.71938804921788,317.9446820218253,252.36877440898323,6.028938631329005,74.33185981613785
2020-07-05,166.91032702196378,318.1128172076384,252.58217054679136,6.058132126655239,74.69929283281726
2020-07-06,167.0990141722045,318.2760186364029,252.76419948634577,6.0873884734538155,75.0647127392894
2020-07-07,167.28614986466724,318.4356405089788,252.9216779392151,6.116732145690188,75.4290684027736
2020-07-08,167.47221415073543,318.59261106453124,253.05993357274613,6.146180156024953,75.79306555604812
2020-07-09,167.65753579533916,318.747566157188,253.18313000113727,6.175744395551113,76.15722952558544
2020-07-10,167.84234030235183,318.9009420123469,253.29452175203105,6.205433240745258,76.5219518997952
2020-07-11,168.02678196704974,319.0530370363906,253.39665249849787,6.23525266765301,76.88752501333505
2020-07-12,168.2109662474885,319.2040551365426,253.49151024479397,6.265206983180043,77.2541676147323
2020-07-13,168.39496530267922,319.354136321019,253.5806488110899,6.295299365641361,77.62204386571139
2020-07-14,168.5788284941708,319.5033759953876,253.66528257128914,6.32553221630434,77.99127747167961
2020-07-15,168.7625890904435,319.65183878206847,253.74636057563256,6.355907399172506,78.36196199310774
2020-07-16,168.9462698655087,319.7995691095366,253.82462478915213,6.38642641800079,78.73416891149081
2020-07-17,169.1298862910275,319.94659699309307,253.90065443081812,6.417090525787815,79.10795317189923
2020-07-18,169.3134486552189,320.0929424193756,253.97490292342684,6.447900793531963,79.48335736331435
2020-07-19,169.4969636170915,320.23861871612064,254.04772453135416,6.478858187546913,79.86041507146567
2020-07-20,169.68043569487145,320.38363489493923,254.11939581452427,6.509963600470243,80.23915316406907
2020-07-21,169.86386772183116,320.5279966304581,254.19013290787115,6.541217862598586,80.61959355864633
2020-07-22,170.04726136060086,320.67170730099974,254.26010480802708,6.572621769426107,81.00175447002434
2020-07-23,170.23061738265446,320.81476891196735,254.3294433262675,6.604176096399841,81.38565128569374
2020-07-24,170.41393623288573,320.95718247298583,254.39825212913533,6.635881607968494,81.77129748094897
2020-07-25,170.59721791487922,321.09894832482973,254.46661151194843,6.667739050366881,82.15870509969197
2020-07-26,170.7804621884991,321.2400663813618,254.53458430204537,6.699749167259642,82.54788498871198
2020-07-27,170.9636686426707,321.38053602651087,254.60221970327467,6.7319127006938055,82.93884719341109
2020-07-28,171.14683664449228,321.520356515747,254.66955613692662,6.764230394262476,83.33160124557502
2020-07-29,171.32996573801432,321.659526990926,254.7366236144548,6.796702991782551,83.72615624505015
2020-07-30,171.5130549166474,321.7980465123926,254.80344529868063,6.82933123783379,84.12252088516081
2020-07-31,171.69610374989026,321.9359140610538,254.87003959811926,6.862115879084899,84.52070367066412
2020-08-01,171.87911175902715,322.0731285635868,254.93642066207943,6.895057664672361,84.9207129282915
2020-08-02,172.0620771798155,322.2096889026165,255.00259985390142,6.928157347215123,85.32255690933286
2020-08-03,172.24500046199248,322.3455939534328,255.06858553052888,6.961415682533929,85.72624383158994
2020-08-04,172.4278805308788,322.48084258255693,255.13438414525828,6.994833428919803,86.13178179099637
2020-08-05,172.610716467688,322.6154336482506,255.20000100506564,7.028411348232971,86.5391788871699
2020-08-06,172.79350737573046,322.7493660045104,255.2654401844903,7.062150205680489,86.94844318794702
2020-08-07,172.97625235834917,322.8826385048705,255.330705079152,7.096050770222336,87.35958277639944
2020-08-08,173.15895053855348,323.01525000436527,255.3957976477854,7.130113814624721,87.77260574304997
2020-08-09,173.34160114323942,323.1471993618207,255.46072003549725,7.164340116043823,88.18752019160046
2020-08-10,173.52420352790995,323.2784854390486,255.5254734478328,7.198730455216282,88.60433423435293
2020-08-11,173.70675687939092,323.4091071015001,255.59005898420196,7.233285616654235,89.02305600297548
2020-08-12,173.88926035072285,323.53906321943975,255.65447739936798,7.268006388607274,89.44369364797505
2020-08-13,174.07171300581953,323.66835266621524,255.7187294356056,7.302893563143155,89.86625534233652
