Fecha,Puducherry,Goa,Manipur,Nagaland,Mizoram
2020-06-11,0.0,0.0,0.0,0.0,0.0
2020-06-12,0.002377172369994241,0.00706441156719404,0.007014079852739718,0.0004404739258096759,0.0005019566161665557
2020-06-13,0.005986968361902182,0.018570795200056313,0.01683323281554561,0.0011610876796412232,0.0013056962620010932
2020-06-14,0.010470319917479749,0.032982967760542346,0.02874098623431949,0.002066823278828851,0.0023149365959906276
2020-06-15,0.015573854249353512,0.049298931481425,0.04220488111122964,0.0030956417245673338,0.0034648996035508257
2020-06-16,0.02111878273318659,0.06686511289000784,0.05682921112601321,0.0042070405471150265,0.004712007183175592
2020-06-17,0.02697894692641187,0.08525520015172106,0.07231989975778912,0.0053745813377804475,0.006026947047388457
2020-06-18,0.033065327092181296,0.10419111382683022,0.08845839772598718,0.00658101009427529,0.007390006724993483
2020-06-19,0.039315110436578295,0.12349145974037148,0.10508228553684731,0.007815070503445714,0.008787933684975473
2020-06-20,0.045683977153495696,0.143037907612397,0.12207085717724703,0.00906942312266254,0.010211822451721243
2020-06-21,0.05214065699070797,0.16275326099677198,0.13933440661480007,0.010339286333391868,0.011655692843966418
2020-06-22,0.05866308825652672,0.18258715339652032,0.1568062659460748,0.01162154894009579,0.013115533216874966
2020-06-23,0.06523570725881139,0.20250671842083662,0.17443688849953165,0.012914190645291248,0.014588656651490544
2020-06-24,0.07184753565898618,0.22249050430683617,0.1921894515026106,0.01421590360026135,0.01607326772403785
2020-06-25,0.07849083079894402,0.2425245045886958,0.21003658820545895,0.015525845267214204,0.017568170974777187
2020-06-26,0.08516013328764972,0.2625995690384892,0.22795795920327586,0.01684347702976975,0.019072574730915094
2020-06-27,0.09185159493408283,0.28270971488805463,0.24593844763796463,0.018168458795728617,0.020585959096810314
2020-06-28,0.0985625045022554,0.3028510254490566,0.2639668178655322,0.01950058018867545,0.022107987113781806
2020-06-29,0.10529095305599985,0.32302093141431604,0.28203471862343166,0.020839715582095717,0.023638444996247857
2020-06-30,0.112035597759628,0.34321774236882857,0.3001359422536191,0.022185794761807053,0.025177201897282207
2020-07-01,0.11879549530902712,0.3634403409919278,0.31826587412230484,0.02353878375830948,0.02672418283881818
2020-07-02,0.1255699843167007,0.3836879837474062,0.33642108352930944,0.024898672329888114,0.028279350498729643
2020-07-03,0.13235860226481372,0.40396017077365304,0.354599019504425,0.026265465788938052,0.029842692956634134
2020-07-04,0.13916102701400504,0.42425656111159044,0.3727977849848502,0.027639179667040357,0.031414215442917316
2020-07-05,0.14597703546115354,0.4445769172424358,0.3910159689250531,0.02901983623185512,0.03299393478971853
2020-07-06,0.15280647437035733,0.46492106908201836,0.40925252125087097,0.030407462196470194,0.03458187569564583
2020-07-07,0.159649239854863,0.4852888904717473,0.42750666028463996,0.031802087261120195,0.03617806822086397
2020-07-08,0.16650526273747052,0.5056802837531309,0.445777803761795,0.033203743121444876,0.03778254607588422
2020-07-09,0.17337449839324887,0.5260951697358355,0.4640655176163401,0.03461246283726454,0.039395345504806216
2020-07-10,0.18025691953691003,0.5465334812427609,0.48236947789725393,0.036028280438747666,0.0410165045151634
2020-07-11,0.18715251106378009,0.5669951587537885,0.5006894424888753,0.03745123063152721,0.04264606235684938
2020-07-12,0.19406126644352065,0.5874801477140082,0.519025230152363,0.03888134862937412,0.04428405917479337
2020-07-13,0.2009831852311162,0.6079883966354535,0.5373767046312676,0.0403186700487824,0.045930535796561124
2020-07-14,0.20791827125428713,0.6285198559498248,0.5557437633380835,0.0417632308292926,0.04758553354740155
2020-07-15,0.21486653131478478,0.6490744773268396,0.574126328664065,0.04321506717809104,0.04924909415572269
2020-07-16,0.22182797433123042,0.6696522129921553,0.592524341456756,0.044674215538618764,0.05092125970447076
2020-07-17,0.22880261070133062,0.690253015533617,0.6109377563256642,0.04614071261840519,0.052602072539416185
2020-07-18,0.2357904518335923,0.7108768376099381,0.6293665380208328,0.047614595284302015,0.054291575265053856
2020-07-19,0.24279150986225498,0.7315236319033541,0.6478106589565512,0.04909590062323283,0.05598981073412767
2020-07-20,0.24980579745689788,0.7521933509254686,0.6662700971270534,0.05058466591844698,0.05769682201910618
2020-07-21,0.25683332758486704,0.772885947036434,0.684744834655471,0.05208092865011156,0.05941265240989005
2020-07-22,0.26387411341685085,0.7936013723859014,0.7032348567681056,0.05358472648784475,0.061137345370277985
2020-07-23,0.2709281683122543,0.814339578871512,0.7217401509693147,0.055096097285432945,0.06287094459898507
2020-07-24,0.2779955057176955,0.8351005181014831,0.7402607064309256,0.056615079101376926,0.0646134939912155
2020-07-25,0.28507613913608065,0.8558841414169542,0.7587965134856512,0.05814171018229867,0.06636503762519044
2020-07-26,0.29217008208213796,0.8766903998847653,0.7773475635229875,0.05967602897833092,0.06812561978357076
2020-07-27,0.2992773480876825,0.8975192443000733,0.7959138485250619,0.06121807408443688,0.06989528495945951
2020-07-28,0.30639795069787007,0.9183706251578411,0.8144953609452623,0.06276788436437868,0.07167407782950501
2020-07-29,0.31353190342872317,0.9392444926587588,0.8330920934785031,0.06432549883666644,0.07346204325464595
2020-07-30,0.32067921977574215,0.9601407967154273,0.8517040392261571,0.06589095667794377,0.07525922634713472
2020-07-31,0.3278399131963012,0.9810594869575163,0.870331191332013,0.06746429729559662,0.07706567232060556
2020-08-01,0.335013997117781,1.0020005127263807,0.8889735431249188,0.06904556028182587,0.07888142669089859
2020-08-02,0.34220148494278424,1.022963823026994,0.9076310879741242,0.070634785448036,0.08070653514039071
