Fecha de diagnóstico,AMB
2021-07-24,7.0
2021-07-25,6.8086866413659966
2021-07-26,6.519974937872314
2021-07-27,6.200770199540308
2021-07-28,5.871555099904958
2021-07-29,5.538623898538808
2021-07-30,5.203934103531424
2021-07-31,4.868117735205505
2021-08-01,4.531401867551882
2021-08-02,4.193890063247746
2021-08-03,3.855648414491423
2021-08-04,3.5167318387205806
2021-08-05,3.177192101714832
2021-08-06,2.837080255134895
2021-08-07,2.4964473553284012
2021-08-08,2.1553446644594656
2021-08-09,1.8138236955990112
2021-08-10,1.4719362010708215
2021-08-11,1.129734140286588
2021-08-12,0.7872696605915523
2021-08-13,0.4445950580900783
2021-08-14,0.10176276258647121
2021-08-15,-0.24117471517468952
2021-08-16,-0.5841648009939933
2021-08-17,-0.9271549036989426
2021-08-18,-1.2700924392581847
2021-08-19,-1.6129248479841733
2021-08-20,-1.955599662514232
2021-08-21,-2.2980645101404535
2021-08-22,-2.6402671529289576
2021-08-23,-2.982155521182607
2021-08-24,-3.3236777449202366
2021-08-25,-3.664782188964021
2021-08-26,-4.005417457958565
2021-08-27,-4.34553247154317
2021-08-28,-4.685076466655082
2021-08-29,-5.023999025024461
2021-08-30,-5.362250116351839
2021-08-31,-5.699780110725448
2021-09-01,-6.03653983165848
2021-09-02,-6.3724805503277375
2021-09-03,-6.707554047000404
2021-09-04,-7.041712615734492
2021-09-05,-7.374909092520887
2021-09-06,-7.707096889594015
2021-09-07,-8.03823002317744
2021-09-08,-8.368263108112403
2021-09-09,-8.697151417365719
2021-09-10,-9.024850886561206
2021-09-11,-9.351318133311791
2021-09-12,-9.676510485979788
2021-09-13,-10.000385995034947
2021-09-14,-10.322903460630688
2021-09-15,-10.644022428778152
2021-09-16,-10.963703269538824
2021-09-17,-11.281907116337132
2021-09-18,-11.598595921457127
2021-09-19,-11.913732462760933
2021-09-20,-12.227280379722666
2021-09-21,-12.5392041484996
2021-09-22,-12.849469101464331
2021-09-23,-13.158041454515667
2021-09-24,-13.464888288548599
2021-09-25,-13.769977625145975
2021-09-26,-14.073278369113385
2021-09-27,-14.374760337558522
2021-09-28,-14.674394271842184
2021-09-29,-14.972151797393488
2021-09-30,-15.268005503162904
2021-10-01,-15.561928933539223
2021-10-02,-15.853896516587266
2021-10-03,-16.14388363545736
2021-10-04,-16.431866599297212
2021-10-05,-16.717822698743703
2021-10-06,-17.001730108430575
2021-10-07,-17.28356795532251
2021-10-08,-17.563316297208505
2021-10-09,-17.84095610567042
2021-10-10,-18.11646932037146
2021-10-11,-18.38983878335309
2021-10-12,-18.66104825303324
2021-10-13,-18.930082480658793
2021-10-14,-19.196926957131797
2021-10-15,-19.461568189992203
2021-10-16,-19.723993529479998
2021-10-17,-19.98419118601393
2021-10-18,-20.24215028586789
2021-10-19,-20.497860721767214
2021-10-20,-20.751313490377175
2021-10-21,-21.002500233937152
2021-10-22,-21.251413552811936
2021-10-23,-21.49804673768396
2021-10-24,-21.742393950897462
2021-10-25,-21.98445014919704
2021-10-26,-22.22421107920663
2021-10-27,-22.461673260795287
2021-10-28,-22.69683397991458
2021-10-29,-22.92969125332748
2021-10-30,-23.160243841491102
2021-10-31,-23.38849126389253
2021-11-01,-23.614433695712577
2021-11-02,-23.838072020811726
2021-11-03,-24.059407801077544
2021-11-04,-24.27844327353656
2021-11-05,-24.495181306317512
2021-11-06,-24.709625404666138
2021-11-07,-24.92177969865698
2021-11-08,-25.131648913881282
2021-11-09,-25.339238361970597
2021-11-10,-25.544553932157058
2021-11-11,-25.74760206364374
2021-11-12,-25.94838976107267
2021-11-13,-26.146924542275283
2021-11-14,-26.343214425841133
2021-11-15,-26.537267934716095
2021-11-16,-26.729094069079633
2021-11-17,-26.91870229745261
2021-11-18,-27.10610253706161
2021-11-19,-27.291305138335584
2021-11-20,-27.474320873574122
2021-11-21,-27.655160922138734
2021-11-22,-27.833836845600118
2021-11-23,-28.010360579116604
2021-11-24,-28.184744448782855
2021-11-25,-28.35700109772833
2021-11-26,-28.527143509721768
2021-11-27,-28.695184972728015
2021-11-28,-28.861139141933577
2021-11-29,-29.025019872801735
2021-11-30,-29.186841354791017
2021-12-01,-29.34661802957497
2021-12-02,-29.50436458992809
2021-12-03,-29.66009597766712
2021-12-04,-29.813827344670244
2021-12-05,-29.965574060589972
2021-12-06,-30.115351702103958
2021-12-07,-30.26317602360082
2021-12-08,-30.409062960339284
2021-12-09,-30.55302862992206
2021-12-10,-30.695089288844642
2021-12-11,-30.835261360443635
2021-12-12,-30.97356139453307
2021-12-13,-31.11000603433419
2021-12-14,-31.244612058877088
2021-12-15,-31.377396351043934
2021-12-16,-31.50837599192736
2021-12-17,-31.637567971463316
2021-12-18,-31.76498903097785
2021-12-19,-31.890656856344354
2021-12-20,-32.014588534229745
2021-12-21,-32.13680136049785
2021-12-22,-32.25731266916598
2021-12-23,-32.3761398220037
2021-12-24,-32.49330020499268
2021-12-25,-32.60881122153122
2021-12-26,-32.72269028356447
2021-12-27,-32.83495480239847
2021-12-28,-32.94562219178089
2021-12-29,-33.054710063486226
2021-12-30,-33.16223527610963
2021-12-31,-33.2682152760377
