Fecha de diagnóstico,AMB
2021-07-24,272.0
2021-07-25,224.42974333430817
2021-07-26,238.90357523510207
2021-07-27,253.90282788158797
2021-07-28,269.3802063533689
2021-07-29,285.2809023977311
2021-07-30,301.5387905923836
2021-07-31,318.07600198233314
2021-08-01,334.80274733199366
2021-08-02,351.61744672525015
2021-08-03,368.4070946416662
2021-08-04,385.04809756648507
2021-08-05,401.4073987748537
2021-08-06,417.3440489227906
2021-08-07,432.71122449869296
2021-08-08,447.3585691953245
2021-08-09,461.1348450924942
2021-08-10,473.8909776960781
2021-08-11,485.48320409354415
2021-08-12,495.77630590074773
2021-08-13,504.6468940778587
2021-08-14,511.98641486966477
2021-08-15,517.7040183724295
2021-08-16,521.7288729391569
2021-08-17,524.0121122724378
2021-08-18,524.528053544913
2021-08-19,523.274835949252
2021-08-20,520.2743871369104
2021-08-21,515.5716706912227
2021-08-22,509.2333137337832
2021-08-23,501.3456797860659
2021-08-24,492.01248288981316
2021-08-25,481.3520000355567
2021-08-26,469.4940436955219
2021-08-27,456.57688762769106
2021-08-28,442.74410913249255
2021-08-29,428.14158164947725
2021-08-30,412.91465954137897
2021-08-31,397.2056059467936
2021-09-01,381.1514312328225
2021-09-02,364.8819941907538
2021-09-03,348.5185323933732
2021-09-04,332.17255650153453
2021-09-05,315.9450866149189
2021-09-06,299.92622606553005
2021-09-07,284.19502401392214
2021-09-08,268.81958942426553
2021-09-09,253.85741713395623
2021-09-10,239.35588017448075
2021-09-11,225.3528508080184
2021-09-12,211.8774109380428
2021-09-13,198.95062284776932
2021-09-14,186.58632756609833
2021-09-15,174.79194767706508
2021-09-16,163.5692774410276
2021-09-17,152.9152447060908
2021-09-18,142.8226257558756
2021-09-19,133.28071428194343
2021-09-20,124.27594220720819
2021-09-21,115.7924383878927
2021-09-22,107.81252222623841
2021-09-23,100.3171581022763
2021-09-24,93.28634293064485
2021-09-25,86.69944656744673
2021-09-26,80.53550291425434
2021-09-27,74.77345869305711
2021-09-28,69.3923804652613
2021-09-29,64.3716269921867
2021-09-30,59.69098878574513
2021-10-01,55.33079956947043
2021-10-02,51.27202322516127
2021-10-03,47.4963189118419
2021-10-04,43.98608799183241
2021-10-05,40.72450526789636
2021-10-06,37.695536741972056
2021-10-07,34.883946806268256
2021-10-08,32.27529566979957
2021-10-09,29.85592968612498
2021-10-10,27.61296566442071
2021-10-11,25.53427056402619
2021-10-12,23.608437316705725
2021-10-13,21.8247582529822
2021-10-14,20.17319655981041
2021-10-15,18.644355892927972
2021-10-16,17.229450799054664
2021-10-17,15.920274831175384
2021-10-18,14.70917038050694
2021-10-19,13.588998563222884
2021-10-20,12.55310914428172
2021-10-21,11.595311945739601
2021-10-22,10.709849008312313
2021-10-23,9.89136772931925
2021-10-24,9.134895225369808
2021-10-25,8.435813871280736
2021-10-26,7.7898379919389145
2021-10-27,7.192991790566118
2021-10-28,6.641588469946027
2021-10-29,6.1322105181856985
2021-10-30,5.661691070376948
2021-10-31,5.227096640322462
2021-11-01,4.82571060769082
2021-11-02,4.455017840700124
2021-11-03,4.112690373545825
2021-11-04,3.796573992656974
2021-11-05,3.5046756635693095
2021-11-06,3.2351518288042285
2021-11-07,2.9862975309518562
2021-11-08,2.75653622721577
2021-11-09,2.5444103477325175
2021-11-10,2.348572519513189
2021-11-11,2.1677773753245893
2021-11-12,2.0008739819287036
2021-11-13,1.8467988003202698
2021-11-14,1.7045691344400073
2021-11-15,1.5732770829417602
2021-11-16,1.4520839191304884
2021-11-17,1.3402148722807752
2021-11-18,1.2369543130918375
2021-11-19,1.1416412815843837
2021-11-20,1.0536653435763044
2021-11-21,0.972462768533246
2021-11-22,0.8975129794831883
2021-11-23,0.8283352718008332
2021-11-24,0.7644857852300915
2021-11-25,0.7055546908587341
2021-11-26,0.651163598277033
2021-11-27,0.6009631602516321
2021-11-28,0.5546308474313281
2021-11-29,0.511868902660248
2021-11-30,0.47240244736278314
2021-12-01,0.4359777255749517
2021-12-02,0.40236048969888866
2021-12-03,0.3713345058774552
2021-12-04,0.3427001697227363
2021-12-05,0.3162732335532535
2021-12-06,0.29188362749380314
2021-12-07,0.2693743692396393
2021-12-08,0.24860056115858248
2021-12-09,0.22942846088194005
2021-12-10,0.2117346233345301
2021-12-11,0.19540511083740658
2021-12-12,0.18033476064219858
2021-12-13,0.1664265102215122
2021-12-14,0.1535907753342365
2021-12-15,0.14174487289846785
2021-12-16,0.1308124907958649
2021-12-17,0.12072319799590216
2021-12-18,0.11141199046877162
2021-12-19,0.10281887423635229
2021-12-20,0.09488847972508864
2021-12-21,0.08756970471152173
2021-12-22,0.0808153863598708
2021-12-23,0.07458199771724379
2021-12-24,0.06882936704791026
2021-12-25,0.06352041989330061
2021-12-26,0.0586209402204669
2021-12-27,0.0540993498805799
2021-12-28,0.04992650579003003
2021-12-29,0.0460755121117589
2021-12-30,0.04252154646508895
2021-12-31,0.03924170053635058
