FECHA,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-06-17,0.171,66.93346723575193,3.5184534270650265,12.0,11.0,-65.0
2020-06-18,0.171,65.7906100928948,3.5184534270650265,-2.0,-27.0,-30.0
2020-06-19,0.171,45.0,3.5184534270650265,-6.0,47.0,37.0
2020-06-20,0.171,56.0,3.5184534270650265,-3.0,9.0,63.0
2020-06-21,0.171,56.0,3.518453427065026,-3.0,67.0,-44.0
2020-06-22,0.171,58.285714285714285,3.518453427065026,12.0,-100.0,-23.0
2020-06-23,0.171,60.142857142857146,3.5184534270650265,-12.0,-57.0,99.0
2020-06-24,0.171,59.714285714285715,3.5184534270650265,6.0,68.0,-96.0
2020-06-25,0.171,64.28571428571429,3.5184534270650265,3.0,-30.0,0.0
2020-06-26,0.171,56.285714285714285,3.5184534270650265,-7.0,31.0,20.0
2020-06-27,0.171,45.0,3.5184534270650265,7.0,1.0,-26.0
2020-06-28,0.171,49.142857142857146,3.5184534270650265,-6.0,43.0,46.0
2020-06-29,0.171,47.0,3.518453427065026,8.0,-55.0,-26.0
2020-06-30,0.171,44.714285714285715,3.518453427065026,-15.0,-27.0,4.0
2020-07-01,0.0064516129032258064,41.42857142857143,3.5184534270650265,15.0,13.0,-17.0
2020-07-02,0.0064516129032258064,31.857142857142858,3.5184534270650265,-12.0,9.0,42.0
2020-07-03,0.0064516129032258064,34.42857142857143,3.5184534270650265,-4.0,25.0,21.0
2020-07-04,0.0064516129032258064,33.285714285714285,3.5184534270650265,3.0,-1.0,37.0
2020-07-05,0.0064516129032258064,25.857142857142858,3.5184534270650265,-4.0,48.0,-27.0
2020-07-06,0.0064516129032258064,23.285714285714285,3.5184534270650265,3.0,-65.0,-56.0
2020-07-07,0.0064516129032258064,28.0,3.518453427065026,-1.0,-17.0,99.0
2020-07-08,0.0064516129032258064,25.0,3.518453427065026,1.0,50.0,-90.0
2020-07-09,0.0064516129032258064,24.428571428571427,3.5184534270650265,1.0,-31.0,20.0
2020-07-10,0.0064516129032258064,38.0,3.5184534270650265,10.0,29.0,-1.0
2020-07-11,0.0064516129032258064,38.285714285714285,3.5184534270650265,5.0,-54.0,51.0
2020-07-12,0.0064516129032258064,34.714285714285715,3.5184534270650265,-12.0,103.0,-64.0
2020-07-13,0.0064516129032258064,33.714285714285715,3.5184534270650265,6.0,-53.0,1.0
2020-07-14,0.0064516129032258064,34.57142857142857,3.5184534270650265,-3.0,-21.0,61.0
2020-07-15,0.0064516129032258064,37.857142857142854,3.518453427065026,-2.0,52.0,-69.0
2020-07-16,0.0064516129032258064,44.857142857142854,3.518453427065026,-2.0,-24.0,-9.0
2020-07-17,0.0064516129032258064,31.142857142857142,3.5184534270650265,-5.0,38.0,44.0
2020-07-18,0.0064516129032258064,42.57142857142857,3.5184534270650265,4.0,-26.0,-27.0
2020-07-19,0.0064516129032258064,43.142857142857146,3.5184534270650265,1.0,29.0,29.0
2020-07-20,0.0064516129032258064,42.714285714285715,3.5184534270650265,2.0,-41.0,-16.0
2020-07-21,0.0064516129032258064,49.0,3.5184534270650265,6.0,-17.0,18.0
2020-07-22,0.0064516129032258064,51.42857142857143,3.5184534270650265,6.0,20.0,-10.0
2020-07-23,0.0064516129032258064,50.142857142857146,3.518453427065026,7.0,-57.0,-39.0
2020-07-24,0.0064516129032258064,49.42857142857143,3.518453427065026,44.0,-94.0,-149.0
2020-07-25,0.0064516129032258064,40.714285714285715,3.5184534270650265,4.0,11.0,-11.0
2020-07-26,0.0064516129032258064,46.285714285714285,3.5184534270650265,-20.0,129.0,26.0
2020-07-27,0.0064516129032258064,51.57142857142857,3.5184534270650265,38.0,-180.0,-50.0
2020-07-28,0.0064516129032258064,70.21918152146623,3.5184534270650265,-6.0,-24.0,-9.0
2020-07-29,0.0064516129032258064,88.36203866432336,3.5184534270650265,10.0,30.0,13.0
2020-07-30,0.0064516129032258064,87.21918152146623,3.5872457946271656,-11.0,-18.0,2.0
2020-07-31,0.0064516129032258064,99.36203866432336,3.227466733617876,0.0,23.0,25.0
2020-08-01,0.06741935483870967,114.36203866432336,2.8676876726085863,4.0,-18.0,-40.0
2020-08-02,0.06741935483870967,116.64775295003766,2.507908611599297,-18.0,166.0,6.0
2020-08-03,0.06741935483870967,122.07632437860909,2.507908611599297,28.0,-169.0,-12.0
2020-08-04,0.06741935483870967,104.57142857142857,2.507908611599297,-8.0,-27.0,4.0
2020-08-05,0.06741935483870967,90.71428571428571,2.507908611599297,-7.0,67.0,3.0
2020-08-06,0.06741935483870967,101.71428571428571,2.0793371830278686,-1.0,-9.0,13.0
2020-08-07,0.06741935483870967,120.71428571428571,2.2221943258850114,-21.0,83.0,59.0
2020-08-08,0.06741935483870967,125.57142857142857,2.2221943258850114,6.0,-21.0,-42.0
2020-08-09,0.06741935483870967,131.71428571428572,2.5819733868943007,-11.0,176.0,9.0
2020-08-10,0.06741935483870967,133.28571428571428,2.581973386894301,18.0,-163.0,1.0
2020-08-11,0.06741935483870967,131.85714285714286,2.2221943258850114,-6.0,-19.0,-6.0
2020-08-12,0.06741935483870967,127.0,2.222194325885011,-3.0,22.0,19.0
2020-08-13,0.06741935483870967,127.85714285714286,2.222194325885011,2.0,-34.0,-7.0
2020-08-14,0.06741935483870967,104.57142857142857,2.439116244037158,-8.0,75.0,21.0
2020-08-15,0.06741935483870967,107.85714285714286,2.798895305046447,14.0,-26.0,-59.0
2020-08-16,0.06741935483870967,116.57142857142857,2.7248305297514435,-32.0,183.0,54.0
