Fecha de diagnóstico,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-06-18,213.0,8.0,0.0,18.333333333333332,-34.0,-41.0
2020-06-19,172.0,9.142857142857142,1.0,16.333333333333332,-28.333333333333332,-35.666666666666664
2020-06-20,126.0,10.714285714285714,0.0,15.0,-18.666666666666668,-37.333333333333336
2020-06-21,0.0,11.857142857142858,0.0,20.0,-32.0,-61.333333333333336
2020-06-22,30.0,12.428571428571429,1.0,34.0,-75.66666666666667,-68.66666666666667
2020-06-23,219.0,13.0,0.0,16.333333333333332,-31.666666666666668,-38.333333333333336
2020-06-24,141.0,12.142857142857142,1.0,17.333333333333332,-32.666666666666664,-34.666666666666664
2020-06-25,247.0,13.142857142857142,0.0,17.666666666666668,-33.0,-39.0
2020-06-26,176.0,16.428571428571427,2.0,18.0,-28.0,-37.0
2020-06-27,135.0,17.285714285714285,0.0,14.333333333333334,-19.666666666666668,-36.666666666666664
2020-06-28,0.0,18.714285714285715,0.0,21.333333333333332,-37.0,-64.66666666666667
2020-06-29,33.0,17.857142857142858,0.0,33.0,-74.33333333333333,-65.66666666666667
2020-06-30,209.0,18.0,1.0,14.666666666666666,-28.0,-33.666666666666664
2020-07-01,179.0,21.428571428571427,1.0,16.333333333333332,-31.666666666666668,-31.333333333333332
2020-07-02,173.0,20.857142857142858,0.0,16.333333333333332,-32.0,-35.333333333333336
2020-07-03,174.0,20.285714285714285,4.0,16.0,-27.0,-32.666666666666664
2020-07-04,107.0,20.571428571428573,1.0,14.333333333333334,-18.333333333333332,-32.0
2020-07-05,0.0,21.571428571428573,0.0,20.333333333333332,-37.0,-61.0
2020-07-06,165.0,22.571428571428573,0.0,17.0,-31.333333333333332,-33.666666666666664
2020-07-07,150.0,27.0,4.0,16.666666666666668,-31.666666666666668,-37.0
2020-07-08,178.0,26.714285714285715,5.0,17.333333333333332,-32.666666666666664,-37.0
2020-07-09,167.0,30.714285714285715,3.0,17.0,-32.333333333333336,-35.333333333333336
2020-07-10,143.0,35.285714285714285,2.0,17.0,-28.0,-34.0
2020-07-11,164.0,35.0,1.0,15.666666666666666,-20.333333333333332,-35.666666666666664
2020-07-12,0.0,36.285714285714285,3.0,20.666666666666668,-37.666666666666664,-62.666666666666664
2020-07-13,169.0,47.142857142857146,7.0,17.0,-32.0,-37.333333333333336
2020-07-14,190.0,59.142857142857146,5.0,17.333333333333332,-32.666666666666664,-38.0
2020-07-15,196.0,62.714285714285715,1.0,17.0,-32.333333333333336,-37.333333333333336
2020-07-16,212.0,69.28571428571429,5.0,17.666666666666668,-33.666666666666664,-40.333333333333336
2020-07-17,209.0,72.28571428571429,5.0,17.666666666666668,-29.0,-38.666666666666664
2020-07-18,165.0,78.85714285714286,1.0,14.333333333333334,-20.666666666666668,-37.0
2020-07-19,0.0,83.71428571428571,6.0,23.666666666666668,-47.666666666666664,-72.33333333333333
2020-07-20,31.0,75.85714285714286,3.0,36.666666666666664,-78.66666666666667,-75.0
2020-07-21,232.0,66.71428571428571,3.0,16.333333333333332,-31.0,-38.0
2020-07-22,182.0,76.71428571428571,9.0,17.666666666666668,-33.0,-35.666666666666664
2020-07-23,176.0,82.85714285714286,9.0,18.333333333333332,-34.333333333333336,-40.333333333333336
2020-07-24,183.0,93.14285714285714,3.0,19.0,-29.0,-40.0
2020-07-25,158.0,97.14285714285714,13.0,15.333333333333334,-20.0,-35.666666666666664
2020-07-26,0.0,96.85714285714286,4.0,22.333333333333332,-43.333333333333336,-68.33333333333333
2020-07-27,216.0,117.14285714285714,17.0,18.0,-33.666666666666664,-40.0
2020-07-28,174.0,147.71428571428572,18.0,18.0,-33.0,-38.0
2020-07-29,179.0,151.0,12.0,18.333333333333332,-34.666666666666664,-38.0
2020-07-30,204.0,158.57142857142858,23.0,18.333333333333332,-35.333333333333336,-39.666666666666664
2020-07-31,193.0,156.28571428571428,11.0,18.0,-30.0,-37.333333333333336
2020-08-01,183.0,180.71428571428572,12.0,17.0,-24.0,-38.666666666666664
2020-08-02,0.0,185.14285714285714,13.0,23.666666666666668,-47.0,-70.66666666666667
2020-08-03,227.0,207.71428571428572,17.0,19.0,-35.333333333333336,-40.333333333333336
2020-08-04,198.0,206.71428571428572,21.0,19.333333333333332,-35.333333333333336,-40.666666666666664
2020-08-05,207.0,247.0,15.0,19.0,-36.333333333333336,-39.666666666666664
2020-08-06,206.0,248.14285714285714,9.0,17.333333333333332,-36.0,-38.333333333333336
2020-08-07,37.0,291.42857142857144,28.0,37.666666666666664,-76.66666666666667,-74.0
2020-08-08,156.0,323.57142857142856,26.0,17.666666666666668,-27.666666666666668,-41.666666666666664
2020-08-09,0.0,337.42857142857144,34.0,23.333333333333332,-47.666666666666664,-73.0
2020-08-10,212.0,341.2857142857143,13.0,18.666666666666668,-35.666666666666664,-42.666666666666664
2020-08-11,164.0,370.14285714285717,25.0,19.333333333333332,-35.666666666666664,-46.333333333333336
2020-08-12,181.0,370.7142857142857,28.0,19.333333333333332,-37.0,-45.0
2020-08-13,203.0,385.42857142857144,28.0,19.333333333333332,-37.333333333333336,-45.666666666666664
2020-08-14,224.0,367.57142857142856,19.0,19.666666666666668,-32.666666666666664,-45.333333333333336
2020-08-15,122.0,349.0,30.0,16.666666666666668,-24.666666666666668,-44.666666666666664
2020-08-16,0.0,350.2857142857143,13.0,23.0,-46.666666666666664,-76.0
2020-08-17,38.0,362.0,16.0,35.666666666666664,-78.33333333333333,-59.0
2020-08-18,203.0,367.42857142857144,32.0,17.333333333333332,-33.0,-16.0
2020-08-19,195.0,353.0,15.0,19.0,-36.0,-16.666666666666668
2020-08-20,214.0,394.57142857142856,44.0,19.333333333333332,-37.0,-18.666666666666668
2020-08-21,220.0,406.2857142857143,14.0,19.666666666666668,-31.0,-46.0
2020-08-22,165.0,421.14285714285717,20.0,16.666666666666668,-22.333333333333332,-19.333333333333332
2020-08-23,0.0,447.2857142857143,31.0,22.333333333333332,-44.0,-58.0
2020-08-24,187.0,447.0,24.0,19.0,-34.666666666666664,-18.333333333333332
2020-08-25,194.0,439.14285714285717,19.0,19.0,-34.0,-17.0
2020-08-26,189.0,454.85714285714283,17.0,18.666666666666668,-33.666666666666664,-16.333333333333332
2020-08-27,194.0,447.57142857142856,22.0,18.333333333333332,-34.666666666666664,-18.0
2020-08-28,198.0,452.85714285714283,23.0,19.0,-29.333333333333332,-44.666666666666664
2020-08-29,135.0,442.14285714285717,16.0,14.333333333333334,-19.666666666666668,-18.0
2020-08-30,0.0,434.85714285714283,12.0,20.666666666666668,-41.666666666666664,-57.666666666666664
2020-08-31,219.0,455.57142857142856,24.0,17.666666666666668,-32.666666666666664,-17.0
2020-09-01,178.0,463.2857142857143,17.0,17.0,-32.0,-13.333333333333334
2020-09-02,212.0,481.42857142857144,29.0,17.0,-33.666666666666664,-13.666666666666666
2020-09-03,177.0,423.14285714285717,3.0,16.333333333333332,-33.0,-15.666666666666666
2020-09-04,194.0,405.85714285714283,8.0,17.0,-28.666666666666668,-14.666666666666666
2020-09-05,135.0,390.0,19.0,12.333333333333334,-19.0,-14.333333333333334
2020-09-06,0.0,356.0,8.0,13.666666666666666,-19.0,-19.333333333333332
2020-09-07,170.0,313.57142857142856,7.0,16.0,-32.666666666666664,-14.666666666666666
2020-09-08,210.0,296.57142857142856,12.0,16.0,-32.333333333333336,-13.666666666666666
2020-09-09,209.0,271.14285714285717,12.0,15.333333333333334,-31.666666666666668,-15.0
2020-09-10,171.0,315.42857142857144,14.0,16.333333333333332,-33.0,-17.0
2020-09-11,209.0,306.42857142857144,11.0,16.666666666666668,-28.666666666666668,-52.0
2020-09-12,143.0,314.2857142857143,16.0,12.0,-17.333333333333332,-52.0
2020-09-13,0.0,323.2857142857143,6.0,12.666666666666666,-21.0,-58.666666666666664
2020-09-14,209.0,332.42857142857144,8.0,15.333333333333334,-29.0,-52.0
2020-09-15,225.0,328.42857142857144,11.0,15.666666666666666,-27.0,-51.666666666666664
2020-09-16,209.0,311.2857142857143,5.0,15.0,-28.666666666666668,-50.333333333333336
2020-09-17,243.0,299.57142857142856,11.0,15.0,-30.333333333333332,-47.333333333333336
2020-09-18,199.0,305.14285714285717,11.0,15.0,-25.333333333333332,-48.0
2020-09-19,135.0,295.57142857142856,4.0,9.333333333333334,-15.0,-42.666666666666664
2020-09-20,0.0,291.14285714285717,13.0,10.0,-16.0,-50.333333333333336
