FECHA,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-06-17,0.12,18.723214285714285,1.2838541666666667,-3.0,2.0,-2.0
2020-06-18,0.12,27.875,1.2838541666666667,12.0,-31.0,15.0
2020-06-19,0.12,19.294642857142858,1.2838541666666667,-16.0,83.0,-24.0
2020-06-20,0.12,15.723214285714286,1.2838541666666667,2.0,42.0,42.0
2020-06-21,0.12,16.151785714285715,1.2838541666666667,-4.0,-13.0,-17.0
2020-06-22,0.12,24.008928571428573,1.2838541666666667,6.0,-84.0,-42.0
2020-06-23,0.12,30.866071428571427,1.2838541666666667,-1.0,3.0,34.0
2020-06-24,0.12,31.294642857142858,1.2838541666666667,0.0,-7.0,-22.0
2020-06-25,0.12,23.142857142857142,1.2838541666666667,2.0,-52.0,45.0
2020-06-26,0.12,24.714285714285715,1.2838541666666667,1.0,66.0,-51.0
2020-06-27,0.12,26.571428571428573,1.2838541666666667,2.0,21.0,48.0
2020-06-28,0.12,29.142857142857142,1.2838541666666667,-7.0,8.0,-17.0
2020-06-29,0.12,22.0,1.2838541666666667,5.0,-49.0,-40.0
2020-06-30,0.12,18.428571428571427,1.2838541666666667,-2.0,4.0,39.0
2020-07-01,0.10967741935483871,25.294642857142858,1.2838541666666667,1.0,-4.0,-48.0
2020-07-02,0.10967741935483871,30.151785714285715,1.2838541666666667,0.0,-52.0,53.0
2020-07-03,0.10967741935483871,33.294642857142854,1.2838541666666667,-3.0,96.0,-43.0
2020-07-04,0.10967741935483871,34.4375,1.2838541666666667,4.0,65.0,35.0
2020-07-05,0.10967741935483871,34.294642857142854,1.2838541666666667,-5.0,-7.0,6.0
2020-07-06,0.10967741935483871,36.580357142857146,1.2838541666666667,2.0,-95.0,-54.0
2020-07-07,0.10967741935483871,42.30357142857143,1.2838541666666667,-3.0,24.0,47.0
2020-07-08,0.10967741935483871,37.580357142857146,1.2838541666666667,-3.0,-8.0,-31.0
2020-07-09,0.10967741935483871,33.86607142857143,1.2838541666666667,7.0,-56.0,41.0
2020-07-10,0.10967741935483871,36.86607142857143,1.2838541666666667,3.0,75.0,-43.0
2020-07-11,0.10967741935483871,35.723214285714285,1.2838541666666667,-1.0,40.0,62.0
2020-07-12,0.10967741935483871,35.580357142857146,1.2838541666666667,-9.0,18.0,-20.0
2020-07-13,0.10967741935483871,40.723214285714285,1.2838541666666667,5.0,-70.0,-66.0
2020-07-14,0.10967741935483871,38.714285714285715,1.2838541666666667,3.0,7.0,60.0
2020-07-15,0.10967741935483871,35.0,1.2838541666666667,1.0,30.0,6.0
2020-07-16,0.10967741935483871,34.714285714285715,1.2838541666666667,9.0,-56.0,63.0
2020-07-17,0.10967741935483871,32.0,1.2838541666666667,-10.0,87.0,-44.0
2020-07-18,0.10967741935483871,32.857142857142854,1.2838541666666667,-2.0,33.0,30.0
2020-07-19,0.10967741935483871,30.571428571428573,1.2838541666666667,-4.0,14.0,16.0
2020-07-20,0.10967741935483871,25.142857142857142,1.2838541666666667,8.0,-93.0,-80.0
2020-07-21,0.10967741935483871,19.142857142857142,1.2838541666666667,3.0,-4.0,33.0
2020-07-22,0.10967741935483871,26.0,1.2838541666666667,1.0,42.0,-28.0
2020-07-23,0.10967741935483871,36.857142857142854,1.2838541666666667,-1.0,-74.0,75.0
2020-07-24,0.10967741935483871,40.42857142857143,1.2433035714285714,-3.0,99.0,-24.0
2020-07-25,0.10967741935483871,46.580357142857146,1.2433035714285714,14.0,-40.0,-33.0
2020-07-26,0.10967741935483871,59.4375,1.488467261904762,-3.0,1.0,-2.0
2020-07-27,0.10967741935483871,61.294642857142854,1.4479166666666667,22.0,-129.0,-98.0
2020-07-28,0.10967741935483871,69.30357142857143,1.4479166666666665,-3.0,24.0,48.0
2020-07-29,0.10967741935483871,79.875,1.4479166666666667,-2.0,-45.0,-35.0
2020-07-30,0.10967741935483871,74.58928571428571,1.4479166666666665,2.0,-20.0,42.0
2020-07-31,0.10967741935483871,83.44642857142857,1.4884672619047616,0.0,59.0,-37.0
2020-08-01,0.1,93.86607142857143,1.488467261904762,-6.0,54.0,65.0
2020-08-02,0.1,94.4375,1.2433035714285714,-15.0,73.0,12.0
2020-08-03,0.1,115.58035714285714,1.2838541666666667,10.0,-98.0,-68.0
2020-08-04,0.1,145.71428571428572,1.2838541666666667,-3.0,21.0,65.0
2020-08-05,0.1,140.71428571428572,1.2433035714285714,-4.0,27.0,-69.0
2020-08-06,0.1,144.85714285714286,1.2433035714285714,7.0,-32.0,61.0
2020-08-07,0.1,137.71428571428572,1.2027529761904763,-10.0,88.0,-37.0
2020-08-08,0.1,122.42857142857143,1.2027529761904763,-4.0,63.0,87.0
2020-08-09,0.1,120.85714285714286,1.1622023809523812,-8.0,81.0,-28.0
2020-08-10,0.1,126.0,1.1622023809523812,4.0,-108.0,-38.0
2020-08-11,0.1,89.42857142857143,1.1622023809523812,1.0,-2.0,40.0
2020-08-12,0.1,88.57142857142857,1.2027529761904763,4.0,-23.0,-50.0
2020-08-13,0.1,84.0,1.2027529761904763,4.0,-8.0,64.0
2020-08-14,0.1,95.0,1.2433035714285714,-10.0,57.0,-46.0
2020-08-15,0.1,93.14285714285714,1.2433035714285714,9.0,-51.0,-13.0
2020-08-16,0.1,87.57142857142857,1.2838541666666667,-19.0,115.0,39.0
2020-08-17,0.1,64.00892857142857,1.2838541666666667,4.0,-270.0,49.0
2020-08-18,0.1,79.15178571428571,1.2838541666666667,0.0,-10.0,5.0
