FECHA,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-10-05,0.10400000000000001,31.721354166666664,0.23958333333333334,-14.0,106.0,172.0
2020-10-06,0.10400000000000001,30.578497023809522,0.23958333333333331,-5.0,38.0,-57.0
2020-10-07,0.10400000000000001,26.43563988095238,0.23958333333333334,6.0,10.0,19.0
2020-10-08,0.10400000000000001,22.864211309523807,0.23958333333333334,19.0,64.0,-2.0
2020-10-09,0.10400000000000001,15.864211309523808,0.23958333333333331,12.0,-23.0,-72.0
2020-10-10,0.10400000000000001,15.292782738095237,0.23958333333333334,-14.0,43.0,169.0
2020-10-11,0.10400000000000001,9.142857142857142,0.23958333333333331,11.0,-140.0,-143.0
2020-10-12,0.10400000000000001,10.571428571428571,0.23958333333333334,3.0,106.0,36.0
2020-10-13,0.10400000000000001,9.142857142857142,0.23958333333333334,-3.0,22.0,2.0
2020-10-14,0.10400000000000001,10.0,0.23958333333333331,-4.0,-1.0,22.0
2020-10-15,0.10400000000000001,10.285714285714286,0.23958333333333334,11.0,0.0,-47.0
2020-10-16,0.10400000000000001,11.857142857142858,0.23958333333333334,8.0,-22.0,-17.0
2020-10-17,0.10400000000000001,11.142857142857142,0.23958333333333331,-25.0,32.0,94.0
2020-10-18,0.10400000000000001,17.292782738095237,0.23958333333333334,14.0,-138.0,-87.0
2020-10-19,0.10400000000000001,18.578497023809522,0.23958333333333331,8.0,82.0,38.0
2020-10-20,0.10400000000000001,21.43563988095238,0.23958333333333334,5.0,9.0,-18.0
2020-10-21,0.10400000000000001,24.721354166666664,0.23958333333333334,-15.0,-26.0,35.0
2020-10-22,0.10400000000000001,26.007068452380953,0.23958333333333331,-7.0,-32.0,-84.0
2020-10-23,0.10400000000000001,27.721354166666664,0.23958333333333334,3.0,-27.0,-42.0
2020-10-24,0.10400000000000001,35.149925595238095,0.23958333333333334,-20.0,64.0,129.0
2020-10-25,0.10400000000000001,34.285714285714285,0.23958333333333331,15.0,-152.0,-137.0
2020-10-26,0.10400000000000001,35.285714285714285,0.23958333333333334,-12.0,122.0,96.0
2020-10-27,0.10400000000000001,42.42857142857143,0.23958333333333331,30.0,-79.0,-129.0
2020-10-28,0.10400000000000001,45.0,0.3482142857142857,4.0,-12.0,-26.0
2020-10-29,0.10400000000000001,47.857142857142854,0.3482142857142857,9.0,-1.0,12.0
2020-10-30,0.10400000000000001,47.857142857142854,0.3482142857142857,4.0,-101.0,44.0
2020-10-31,0.10400000000000001,43.714285714285715,0.3482142857142857,-17.0,153.0,88.0
2020-11-01,0.10400000000000001,37.714285714285715,0.3482142857142857,10.0,-117.0,-41.0
2020-11-02,0.10400000000000001,37.857142857142854,0.3482142857142857,18.0,49.0,1.0
2020-11-03,0.10400000000000001,40.857142857142854,0.3482142857142857,-9.0,35.0,-42.0
2020-11-04,0.10400000000000001,43.142857142857146,0.3482142857142857,1.0,-50.0,21.0
2020-11-05,0.10400000000000001,42.285714285714285,0.3482142857142857,-11.0,22.0,-5.0
2020-11-06,0.10400000000000001,44.285714285714285,0.3482142857142857,2.0,8.0,-15.0
2020-11-07,0.10400000000000001,48.142857142857146,0.3482142857142857,-21.0,52.0,97.0
2020-11-08,0.10400000000000001,48.42857142857143,0.3482142857142857,7.0,-122.0,-52.0
2020-11-09,0.10400000000000001,52.0,0.3482142857142857,-2.0,83.0,85.0
2020-11-10,0.10400000000000001,46.285714285714285,0.3482142857142857,-1.0,32.0,-65.0
2020-11-11,0.10400000000000001,40.57142857142857,0.23958333333333334,-6.0,0.0,32.0
2020-11-12,0.10400000000000001,45.57142857142857,0.23958333333333334,1.0,0.0,1.0
2020-11-13,0.10400000000000001,48.0,0.3482142857142857,-3.0,17.0,-1.0
2020-11-14,0.10400000000000001,43.285714285714285,0.4568452380952381,-16.0,21.0,15.0
2020-11-15,0.10400000000000001,42.857142857142854,0.45684523809523814,20.0,-110.0,-57.0
2020-11-16,0.10400000000000001,41.142857142857146,0.5654761904761905,-9.0,81.0,74.0
2020-11-17,0.10400000000000001,37.714285714285715,0.5654761904761905,3.0,-2.0,-53.0
2020-11-18,0.10400000000000001,38.714285714285715,0.5654761904761905,0.0,10.0,19.0
2020-11-19,0.10400000000000001,33.142857142857146,0.5654761904761905,-4.0,1.0,-11.0
2020-11-20,0.10400000000000001,34.142857142857146,0.45684523809523814,5.0,-20.0,24.0
2020-11-21,0.10400000000000001,36.285714285714285,0.3482142857142857,-9.0,50.0,36.0
2020-11-22,0.10400000000000001,37.714285714285715,0.3482142857142857,14.0,-141.0,-88.0
2020-11-23,0.10400000000000001,38.0,0.23958333333333331,-9.0,69.0,66.0
2020-11-24,0.10400000000000001,37.714285714285715,0.23958333333333334,4.0,12.0,-49.0
2020-11-25,0.10400000000000001,36.0,0.23958333333333334,-3.0,0.0,22.0
2020-11-26,0.10400000000000001,35.285714285714285,0.23958333333333331,1.0,13.0,-8.0
2020-11-27,0.10400000000000001,28.428571428571427,0.23958333333333334,2.0,23.0,17.0
2020-11-28,0.10400000000000001,25.0,0.23958333333333334,-10.0,40.0,74.0
2020-11-29,0.10400000000000001,23.714285714285715,0.23958333333333331,14.0,-146.0,-115.0
2020-11-30,0.10400000000000001,19.571428571428573,0.23958333333333334,2.0,-55.0,72.0
2020-12-01,0.1038709677419355,17.714285714285715,0.3482142857142857,-7.0,158.0,-49.0
2020-12-02,0.1038709677419355,16.571428571428573,0.34821428571428575,-6.0,-15.0,15.0
2020-12-03,0.1038709677419355,14.285714285714286,0.3482142857142857,2.0,5.0,6.0
2020-12-04,0.1038709677419355,15.285714285714286,0.3482142857142857,-4.0,5.0,24.0
2020-12-05,0.1038709677419355,16.0,0.34821428571428575,-8.0,69.0,68.0
2020-12-06,0.1038709677419355,15.714285714285714,0.3482142857142857,21.0,-161.0,-138.0
2020-12-07,0.1038709677419355,17.285714285714285,0.3482142857142857,-8.0,104.0,79.0
2020-12-08,0.1038709677419355,15.428571428571429,0.23958333333333334,3.0,12.0,-44.0
2020-12-09,0.1038709677419355,16.142857142857142,0.23958333333333334,1.0,11.0,4.0
2020-12-10,0.1038709677419355,17.142857142857142,0.23958333333333331,17.0,19.0,14.0
2020-12-11,0.1038709677419355,15.857142857142858,0.3482142857142857,3.0,16.0,-42.0
2020-12-12,0.1038709677419355,14.428571428571429,0.3482142857142857,-25.0,39.0,126.0
2020-12-13,0.1038709677419355,14.857142857142858,0.3482142857142857,16.0,-148.0,-124.0
2020-12-14,0.1038709677419355,11.571428571428571,0.3482142857142857,3.0,106.0,23.0
2020-12-15,0.1038709677419355,14.714285714285714,0.3482142857142857,4.0,8.0,11.0
2020-12-16,0.1038709677419355,13.0,0.3482142857142857,-2.0,-15.0,-26.0
2020-12-17,0.1038709677419355,12.285714285714286,0.3482142857142857,-1.0,12.0,-32.0
2020-12-18,0.1038709677419355,12.285714285714286,0.23958333333333334,3.0,11.0,84.0
2020-12-19,0.103870967741935,12.428571428571429,0.23958333333333334,-28.0,70.0,86.0
2020-12-20,0.103870967741935,12.0,0.23958333333333331,19.0,-174.0,-149.0
2020-12-21,0.103870967741935,12.0,0.23958333333333334,1.0,40.0,43.0
2020-12-22,0.103870967741935,8.714285714285714,0.23958333333333331,-3.0,-8.0,4.0
2020-12-23,0.103870967741935,10.142857142857142,0.3482142857142857,-6.0,-55.0,31.0
2020-12-24,0.103870967741935,12.0,0.3482142857142857,4.0,-38.0,-71.0
2020-12-25,0.103870967741935,17.149925595238095,0.3482142857142857,37.0,-163.0,-80.0
2020-12-26,0.103870967741935,16.007068452380953,0.3482142857142857,-29.0,182.0,24.0
2020-12-27,0.103870967741935,16.007068452380953,0.3482142857142857,-1.0,17.0,42.0
2020-12-28,0.103870967741935,15.578497023809522,0.3482142857142857,12.0,-48.0,46.0
2020-12-29,0.103870967741935,15.721354166666666,0.3482142857142857,-1.0,18.0,-43.0
2020-12-30,0.103870967741935,14.292782738095237,0.23958333333333334,-6.0,-1.0,-7.0
2020-12-31,0.103870967741935,18.585565476190474,0.23958333333333334,-9.0,-18.0,-1.0
2021-01-01,0.10604225352112673,13.292782738095239,0.23958333333333331,29.0,-134.0,-120.0
2021-01-02,0.10604225352112673,13.292782738095237,0.23958333333333334,-29.0,193.0,169.0
2021-01-03,0.10604225352112673,20.442708333333332,0.23958333333333331,2.0,15.0,-123.0
2021-01-04,0.10604225352112673,21.156994047619044,0.23958333333333334,11.0,-14.0,85.0
2021-01-05,0.10604225352112673,21.728422619047617,0.23958333333333334,-2.0,37.0,16.0
2021-01-06,0.10604225352112673,22.299851190476186,0.23958333333333331,-3.0,11.0,-8.0
2021-01-07,0.10604225352112673,15.292782738095237,0.23958333333333334,8.0,32.0,-37.0
2021-01-08,0.10604225352112673,20.585565476190474,0.23958333333333334,-2.0,2.0,32.0
2021-01-09,0.10604225352112673,24.728422619047617,0.23958333333333331,-28.0,77.0,41.0
2021-01-10,0.10604225352112673,17.435639880952383,0.3482142857142857,16.0,-119.0,-49.0
2021-01-11,0.10604225352112673,16.721354166666664,0.3482142857142857,17.0,-93.0,10.0
2021-01-12,0.10604225352112673,15.43563988095238,0.3482142857142857,-10.0,157.0,13.0
2021-01-13,0.10604225352112673,15.149925595238093,0.3482142857142857,-3.0,-38.0,32.0
2021-01-14,0.10604225352112673,22.156994047619044,0.3482142857142857,5.0,3.0,-44.0
2021-01-15,0.10604225352112673,15.292782738095237,0.3482142857142857,-11.0,-25.0,13.0
2021-01-16,0.10604225352112673,11.721354166666666,0.3482142857142857,-13.0,67.0,60.0
2021-01-17,0.10604225352112673,11.721354166666666,0.23958333333333334,14.0,-131.0,-90.0
2021-01-18,0.10604225352112673,11.721354166666666,0.23958333333333334,11.0,82.0,68.0
2021-01-19,0.10604225352112673,11.864211309523808,0.23958333333333331,-13.0,10.0,-52.0
2021-01-20,0.10604225352112673,12.578497023809522,0.23958333333333334,11.0,-19.0,24.0
2021-01-21,0.10604225352112673,5.571428571428571,0.23958333333333331,2.0,35.0,-14.0
2021-01-22,0.10604225352112673,12.43563988095238,0.23958333333333334,-9.0,-13.0,20.0
2021-01-23,0.10604225352112673,11.578497023809522,0.23958333333333334,-14.0,41.0,65.0
2021-01-24,0.10604225352112673,18.87127976190476,0.23958333333333331,12.0,-116.0,-97.0
2021-01-25,0.10604225352112673,18.728422619047617,0.23958333333333334,6.0,94.0,60.0
